ILOC_CODE_2016,PreSch_Indig_M,PreSch_Indig_F,PreSch_Indig_P,PreSch_NonInd_M,PreSch_NonInd_F,PreSch_NonInd_P,PreSch_Indig_st_nsM,PreSch_Indig_st_nsF,PreSch_Indig_st_nsP,PreSch_TotM,PreSch_TotF,PreSch_TotP,InfPrim_Indig_M,InfPrim_Indig_F,InfPrim_Indig_P,InfPrim_NonInd_M,InfPrim_NonInd_F,InfPrim_NonInd_P,InfPrim_Indig_st_nsM,InfPrim_Indig_st_nsF,InfPrim_Indig_st_nsP,InfPrim_TotM,InfPrim_TotF,InfPrim_TotP,Sec_Indig_M,Sec_Indig_F,Sec_Indig_P,Sec_NonInd_M,Sec_NonInd_F,Sec_NonInd_P,Sec_Indig_st_nsM,Sec_Indig_st_nsF,Sec_Indig_st_nsP,Sec_TotM,Sec_TotF,Sec_TotP,TFEI_FT_St_15_24_In_M,TFEI_FT_St_15_24_Id_F,TFEI_FT_St_15_24_Id_P,TFEI_FT_St_15_24_No_Id_M,TFEI_FT_St_15_24_No_Id_F,TFEI_FT_St_15_24_No_Id_P,TFEI_FT_St_15_24_I_s_n_s_M,TFEI_FT_St_15_24_I_s_n_s_F,TFEI_FT_St_15_24_I_s_n_s_P,TFEI_FT_St_15_24_TotM,TFEI_FT_St_15_24_TotF,TFEI_FT_St_15_24_TotP,TFEI_FT_St_25over_Id_M,TFEI_FT_St_25over_Id_F,TFEI_FT_St_25over_Id_P,TFEI_FT_St_25ov_Non_Id_M,TFEI_FT_St_25ov_Non_Id_F,TFEI_FT_St_25ov_Non_Id_P,TFEI_FT_St_25ov_I_s_n_st_M,TFEI_FT_St_25ov_I_s_n_st_F,TFEI_FT_St_25ov_I_s_n_st_P,TFEI_FT_St_25ov_TotM,TFEI_FT_St_25ov_TotF,TFEI_FT_St_25ov_TotP,TFEI_PT_St_15_24_Id_M,TFEI_PT_St_15_24_Id_F,TFEI_PT_St_15_24_Id_P,TFEI_PT_St_15_24_Non_Id_M,TFEI_PT_St_15_24_No_Id_F,TFEI_PT_St_15_24_No_Id_P,TFEI_PT_St_15_24_I_s_n_s_M,TFEI_PT_St_15_24_I_s_n_s_F,TFEI_PT_St_15_24_I_s_n_s_P,TFEI_PT_St_15_24_TotM,TFEI_PT_St_15_24_TotF,TFEI_PT_St_15_24_TotP,TFEI_PT_St_25ov_Id_M,TFEI_PT_St_25ov_Id_F,TFEI_PT_St_25ov_Id_P,TFEI_PT_St_25ov_Non_Id_M,TFEI_PT_St_25ov_Non_Id_F,TFEI_PT_St_25ov_Non_Id_P,TFEI_PT_St_25ov_I_s_n_s_M,TFEI_PT_St_25ov_I_s_n_s_F,TFEI_PT_St_25ov_Id_s_n_s_P,TFEI_PT_St_25ov_TotM,TFEI_PT_St_25ov_TotF,TFEI_PT_St_25ov_TotP,TFEI_FT_PT_s_s_nt_st_Id_M,TFEI_FT_PT_s_s_nt_st_Id_F,TFEI_FT_PT_s_s_nt_st_Id_P,TFEI_FT_PT_s_s_nt_s_N_I_M,TFEI_FT_PT_s_s_n_st_N_I_F,TFEI_FT_PT_s_s_n_s_No_Id_P,TFEI_F_P_s_s_n_s_I_s_n_s_M,TFEI_F_P_s_s_n_s_I_s_n_s_F,TFEI_F_P_s_s_n_s_I_s_n_s_P,TFEI_FT_PT_s_s_nt_st_To_M,TFEI_FT_PT_s_s_nt_st_To_F,TFEI_FT_PT_s_s_nt_st_To_P,TFEI_Tot_Indig_M,TFEI_Tot_Indig_F,TFEI_Tot_Indig_P,TFEI_Tot_NonInd_M,TFEI_Tot_NonInd_F,TFEI_Tot_NonInd_P,TFEI_Tot_IndSt_nsM,TFEI_Tot_IndSt_nsF,TFEI_Tot_IndSt_nsP,TFEI_Tot_TotM,TFEI_Tot_TotF,TFEI_Tot_TotP,UT_FT_S_15_24_Ind_M,UT_FT_S_15_24_Ind_F,UT_FT_S_15_24_Ind_P,UT_FT_S_15_24_NonInd_M,UT_FT_S_15_24_NonInd_F,UT_FT_S_15_24_NonInd_P,UT_FT_S_15_24_In_st_nsM,UT_FT_S_15_24_In_st_nsF,UT_FT_S_15_24_In_st_nsP,UT_FT_S_15_24_TotM,UT_FT_S_15_24_TotF,UT_FT_S_15_24_TotP,UT_FT_S_25_over_Ind_M,UT_FT_S_25_over_Ind_F,UT_FT_S_25_over_Ind_P,UT_FT_S_25ov_NonInd_M,UT_FT_S_25ov_NonInd_F,UT_FT_S_25ov_NonInd_P,UT_FT_S_25ov_IndSt_nsM,UT_FT_S_25ov_IndSt_nsF,UT_FT_S_25ov_IndSt_nsP,UT_FT_S_25ov_TotM,UT_FT_S_25ov_TotF,UT_FT_S_25ov_TotP,UT_PT_S_15_24_Ind_M,UT_PT_S_15_24_Ind_F,UT_PT_S_15_24_Ind_P,UT_PT_S_15_24_No_Ind_M,UT_PT_S_15_24_NonInd_F,UT_PT_S_15_24_NonInd_P,UT_PT_S_15_24_In_st_nsM,UT_PT_S_15_24_In_st_nsF,UT_PT_S_15_24_In_st_nsP,UT_PT_S_15_24_TotM,UT_PT_S_15_24_TotF,UT_PT_S_15_24_TotP,UT_PT_S_25over_In_M,UT_PT_S_25over_In_F,UT_PT_S_25over_In_P,UT_PT_S_25over_Non_In_M,UT_PT_S_25over_Non_In_F,UT_PT_S_25over_Non_In_P,UT_PT_S_25ov_In_s_nsM,UT_PT_S_25ov_In_s_nsF,UT_PT_S_25ov_In_s_nsP,UT_PT_S_25over_TotM,UT_PT_S_25over_TotF,UT_PT_S_25over_TotP,UT_FT_PT_stud_st_ns_Ind_M,UT_FT_PT_stud_st_ns_Ind_F,UT_FT_PT_stud_st_ns_Ind_P,UT_FT_PT_stu_st_ns_NonInd_M,UT_FT_PT_stu_st_ns_NonInd_F,UT_FT_PT_stu_st_ns_NonInd_P,UT_FT_PT_st_st_ns_In_st_nsM,UT_FT_PT_st_st_ns_In_st_nsF,UT_FT_PT_st_st_ns_In_st_nsP,UT_FT_PT_stu_st_ns_TotM,UT_FT_PT_stu_st_ns_TotF,UT_FT_PT_stu_st_ns_TotP,UT_Tot_Indig_M,UT_Tot_Indig_F,UT_Tot_Indig_P,UT_Tot_NonInd_M,UT_Tot_NonInd_F,UT_Tot_NonInd_P,UT_Tot_IndigStat_nsM,UT_Tot_IndigStat_nsF,UT_Tot_IndigStat_nsP,UT_Tot_TotM,UT_Tot_TotF,UT_Tot_TotP,OEI_Ind_M,OEI_Ind_F,OEI_Ind_P,OEI_NonInd_M,OEI_NonInd_F,OEI_NonInd_P,OEI_IndSt_nsM,OEI_IndSt_nsF,OEI_IndSt_nsP,OEI_TotM,OEI_TotF,OEI_TotP,T_EI_ns_Ind_M,T_EI_ns_Ind_F,T_EI_ns_Ind_P,T_EI_ns_NonInd_M,T_EI_ns_NonInd_F,T_EI_ns_NonInd_P,T_EI_ns_IndSt_nsM,T_EI_ns_IndSt_nsF
ILOC10100101,12,15,23,6,22,32,0,0,0,17,36,54,35,39,67,90,67,155,0,4,3,120,107,228,20,29,49,45,45,93,3,0,3,67,75,146,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,3,0,6,5,7,4,5,16,0,0,0,11,14,24,0,8,6,3,9,9,0,0,0,3,12,16,0,0,0,0,0,0,0,0,0,0,0,0,6,15,15,12,18,31,0,0,0,20,35,50,0,0,0,4,10,9,0,0,0,4,10,9,0,0,0,0,4,4,0,0,0,0,4,4,0,0,0,3,3,5,0,0,0,3,3,5,0,0,0,3,13,15,0,0,0,3,13,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,30,38,0,0,0,8,31,44,0,0,0,0,0,4,0,0,0,0,4,4,11,14,26,28,40,67,125,110
ILOC10100201,51,61,112,130,125,251,0,3,5,182,188,362,210,196,404,511,472,980,3,13,15,722,684,1405,133,120,251,360,347,708,6,8,11,493,472,968,6,8,13,13,29,42,0,0,0,20,36,61,0,14,10,4,18,21,0,0,0,8,24,33,8,14,27,54,38,95,0,0,0,65,49,120,5,17,26,55,85,134,0,3,3,61,106,166,0,0,0,0,0,0,0,0,0,0,0,0,25,50,75,126,163,290,0,3,3,155,221,375,6,8,13,26,44,68,0,0,0,33,58,83,3,3,6,9,22,37,0,0,0,18,26,42,0,0,0,8,17,28,0,0,0,8,24,30,3,10,8,39,83,118,0,0,0,41,90,133,0,0,0,0,0,0,0,0,0,0,0,0,8,24,31,86,169,253,0,0,0,92,193,285,5,9,20,21,37,61,0,0,0,28,50,75,48,44,94,79,90,166,397,443
ILOC10100202,8,7,14,21,18,37,0,0,0,27,29,58,17,28,48,65,56,120,0,0,0,79,90,168,11,22,31,36,44,75,3,4,3,49,67,116,3,4,4,5,4,5,0,0,0,4,3,10,0,6,9,3,3,8,0,0,0,3,9,12,3,0,8,12,8,27,0,0,0,16,11,28,0,5,6,11,18,29,0,0,0,10,23,32,0,0,0,0,0,0,0,0,0,0,0,0,6,10,21,29,38,69,0,0,0,41,51,89,4,3,7,12,19,30,0,0,0,18,19,38,0,4,4,5,15,23,0,0,0,5,20,30,3,0,3,0,7,6,0,0,0,4,7,12,0,3,3,17,17,33,0,0,0,17,19,35,0,0,0,0,0,0,0,0,0,0,0,0,4,10,17,32,66,100,0,0,0,39,73,115,3,0,3,4,16,21,0,0,0,9,18,23,8,17,27,34,34,74,124,124
ILOC10100203,22,10,31,61,70,126,0,3,3,79,81,161,83,64,150,286,262,546,0,3,3,370,334,698,38,46,86,157,204,359,0,0,5,199,252,450,4,4,5,6,14,21,0,0,0,9,21,29,0,0,4,7,18,18,0,0,0,5,18,23,3,6,11,20,14,38,0,0,0,25,21,42,4,7,10,35,51,88,0,0,0,36,66,104,0,0,0,0,0,0,0,0,0,0,0,0,10,23,31,65,103,167,0,0,0,75,119,194,0,3,4,15,19,37,0,0,0,12,20,36,3,0,0,6,23,28,0,0,0,9,24,29,0,0,0,0,16,17,0,0,0,0,23,21,3,8,10,28,53,79,0,0,0,29,60,90,0,0,0,0,0,0,0,0,0,0,0,0,8,8,13,52,113,165,0,0,0,60,119,181,0,4,8,11,27,37,0,0,0,11,27,47,11,18,33,49,66,119,168,135
ILOC10100204,10,10,18,72,62,133,0,5,5,79,79,155,50,44,91,375,301,675,6,3,10,425,345,774,35,28,66,229,247,473,9,4,11,274,276,548,0,3,3,0,5,5,0,0,0,0,5,9,0,3,3,3,3,6,0,0,0,3,9,14,3,3,8,50,12,68,0,0,0,57,17,79,7,4,6,19,43,63,0,0,0,27,44,72,0,0,0,0,0,0,0,0,0,0,0,3,9,13,28,83,67,147,3,0,4,94,81,179,0,4,4,18,27,43,0,0,0,17,33,48,0,0,0,3,14,18,0,0,0,3,16,21,0,0,0,0,6,10,0,0,0,3,6,6,0,3,10,19,47,65,0,0,0,18,56,75,0,0,0,0,0,3,0,0,0,0,0,3,0,12,11,43,94,136,0,0,0,45,104,151,0,5,5,11,15,24,0,0,0,11,20,30,14,4,22,66,65,129,279,251
ILOC10100205,28,27,52,75,68,140,0,0,0,100,94,185,120,97,221,270,262,530,3,0,4,400,357,754,94,74,172,189,167,360,0,0,3,290,244,529,3,7,13,12,7,20,0,0,0,16,16,27,3,12,11,3,14,15,0,0,0,6,24,29,8,7,15,25,23,41,0,0,0,28,29,56,9,12,19,28,50,76,0,0,0,31,65,100,0,0,0,0,0,0,0,0,0,0,0,0,22,40,60,64,93,151,0,0,0,80,129,211,4,3,4,9,17,28,0,0,0,16,19,31,0,7,5,10,13,22,0,0,0,12,18,31,0,3,3,3,6,14,0,0,0,3,15,16,0,10,8,30,41,73,0,0,0,31,51,78,0,0,0,3,0,3,0,0,0,3,0,3,3,17,23,50,80,133,0,0,0,55,98,155,4,3,9,13,11,29,0,0,0,18,20,37,33,37,68,58,64,119,239,271
ILOC10100301,14,5,14,45,36,79,0,0,5,56,45,102,39,34,76,128,133,264,3,4,4,175,169,344,24,30,54,79,83,165,3,3,6,106,110,220,3,0,3,0,0,0,0,0,0,3,0,6,0,3,3,0,3,3,0,0,0,0,7,6,0,0,0,8,3,13,0,0,0,13,3,17,3,3,4,3,12,20,0,0,0,5,19,23,0,0,0,0,0,0,0,0,0,0,0,0,6,3,12,14,20,38,0,0,0,21,24,51,0,3,7,3,11,18,0,0,0,5,19,19,0,0,0,0,5,5,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,13,0,0,0,0,11,13,0,0,0,0,0,0,0,0,0,0,0,3,0,3,6,3,34,35,0,0,0,7,35,46,0,0,0,9,6,12,0,0,0,9,6,12,22,20,47,52,64,114,137,113
ILOC10100401,22,20,45,13,14,31,0,0,0,40,32,77,79,78,160,97,87,185,0,4,3,179,164,344,44,50,95,64,66,133,0,7,10,115,118,230,0,3,3,3,0,6,0,0,0,3,5,11,0,0,3,0,6,6,0,0,0,0,6,6,3,3,4,8,4,11,0,0,0,10,10,16,0,7,8,9,18,23,0,0,0,8,20,34,0,0,0,0,0,0,0,0,0,0,0,0,5,14,15,20,26,47,0,0,0,26,45,69,0,3,4,0,6,6,0,0,0,0,13,11,0,0,3,0,6,6,0,0,0,0,8,8,0,3,3,0,3,3,0,0,0,0,5,5,0,7,7,8,6,13,0,0,0,10,11,17,0,0,0,0,0,0,0,0,0,0,0,0,3,13,15,8,24,26,0,0,0,12,36,46,0,4,4,4,3,5,0,0,0,4,3,4,16,27,45,30,42,69,134,147
ILOC10100402,4,0,5,29,14,43,0,0,0,36,18,52,14,16,32,93,80,172,0,0,3,113,93,205,14,10,20,57,40,99,0,3,3,72,55,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,6,0,4,0,0,0,3,5,9,0,0,0,3,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,9,11,13,0,0,0,7,12,21,0,0,0,7,8,9,0,0,0,7,8,11,0,0,0,0,7,4,0,0,0,0,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,4,25,27,0,0,0,4,26,33,0,0,0,0,5,5,0,0,0,0,5,5,9,7,9,22,16,46,106,80
ILOC10100403,0,3,8,0,3,3,0,0,0,3,5,7,18,14,28,10,14,25,0,0,0,28,29,55,16,11,25,12,16,27,0,0,0,24,18,50,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,3,4,0,0,4,0,5,5,0,0,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,4,5,10,0,7,5,0,0,0,5,10,18,0,0,0,0,0,4,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,8,0,0,0,5,6,9,0,3,3,0,0,0,0,0,0,0,5,5,11,5,13,6,9,20,28,26
ILOC10100501,16,16,37,78,75,151,0,0,0,102,93,187,88,78,165,365,364,726,7,6,13,456,451,902,62,38,102,268,261,526,4,4,7,337,302,639,0,3,3,6,7,21,0,0,0,14,10,22,0,0,0,3,4,9,0,0,0,3,7,10,7,7,17,25,41,67,0,0,0,35,49,81,3,7,9,21,59,79,0,0,0,21,69,91,0,0,0,0,0,0,0,0,0,0,3,3,15,19,33,58,115,172,0,0,3,74,140,210,7,3,7,9,29,37,0,0,0,10,31,41,0,0,3,5,13,24,0,0,0,5,18,27,0,0,0,6,15,26,0,0,0,6,14,24,0,3,7,28,37,63,0,0,0,30,40,66,0,0,0,0,0,0,0,0,0,0,0,0,5,7,12,48,96,150,0,0,0,60,103,160,4,0,7,9,27,33,0,0,0,12,30,37,19,15,39,101,144,244,331,376
ILOC10100502,0,0,0,29,31,54,0,0,0,29,30,57,19,18,33,159,140,298,3,3,3,177,157,338,12,6,22,107,146,256,3,4,11,124,163,285,0,0,0,0,3,8,0,0,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,9,28,0,0,0,20,9,30,0,3,3,5,25,32,0,0,0,5,32,40,0,0,0,0,0,0,0,0,0,0,3,3,0,5,11,25,42,61,0,0,0,28,49,75,0,0,3,5,15,25,0,0,0,11,20,30,0,0,0,0,4,4,0,0,0,0,4,4,0,0,0,3,3,7,0,0,0,3,3,7,0,3,3,9,18,23,0,0,0,9,22,27,0,0,0,0,0,4,0,0,0,0,0,4,0,5,8,17,46,66,0,0,0,19,51,68,0,0,0,7,12,17,0,0,0,7,12,17,0,3,7,34,47,75,157,145
ILOC10100503,0,5,8,0,3,3,0,0,0,0,7,13,13,19,29,10,11,24,0,0,0,20,32,52,17,12,23,6,7,17,0,0,0,26,19,42,3,0,3,0,0,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,3,3,0,6,8,0,0,0,0,7,4,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,6,0,0,0,7,10,14,0,0,0,0,4,4,0,0,0,0,3,3,0,3,3,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,7,8,0,0,0,3,10,12,0,0,0,0,0,0,0,0,0,0,0,3,3,5,12,5,17,14,36,30
ILOC10100601,11,7,20,23,28,53,3,0,3,35,40,76,23,18,45,76,97,171,4,6,10,104,123,228,22,24,41,45,41,88,4,0,3,66,64,134,0,0,3,0,0,0,0,0,0,0,3,4,0,0,0,0,3,3,0,0,0,0,3,3,0,3,3,3,4,4,0,0,0,3,9,6,0,4,4,6,8,11,0,0,0,4,16,17,0,0,0,0,0,0,0,0,0,0,0,0,4,4,8,7,20,23,0,0,0,6,21,35,0,0,0,3,12,13,0,0,0,3,12,13,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,5,3,8,0,0,0,5,3,8,0,0,0,3,10,14,0,0,0,3,14,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,27,43,0,0,0,14,32,45,0,0,0,0,0,0,0,0,0,0,0,3,12,18,29,32,36,67,106,118
ILOC10100701,3,9,12,14,8,24,0,0,3,20,15,37,29,37,62,71,50,121,0,0,0,104,87,186,18,15,31,47,51,100,0,8,3,65,77,139,0,0,0,3,0,3,0,0,0,3,0,3,0,4,4,0,0,0,0,0,0,0,8,7,0,3,0,3,6,11,0,0,0,0,13,10,0,0,0,6,15,22,0,0,0,11,15,27,0,0,0,0,0,0,0,0,0,0,0,0,3,7,9,12,18,37,0,0,0,16,26,48,3,0,3,5,0,3,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,3,7,18,21,0,0,0,7,20,29,0,0,0,0,0,0,0,0,0,0,0,0,3,3,8,12,23,34,0,0,0,13,29,43,0,3,5,3,3,3,0,0,0,3,3,10,14,17,28,19,27,43,95,112
ILOC10100702,7,9,12,35,38,71,0,0,0,47,40,84,34,42,75,176,189,374,3,0,3,219,238,453,28,16,46,158,133,290,6,5,9,189,152,344,0,0,0,0,11,8,0,0,0,0,11,11,0,0,0,0,7,7,0,0,0,0,9,9,0,0,0,3,6,14,0,0,0,3,11,17,0,4,4,13,26,40,0,0,0,13,27,38,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,21,48,65,0,0,0,18,57,76,0,0,0,8,17,28,0,0,0,8,17,27,0,0,0,3,3,8,0,0,0,3,3,8,0,0,0,0,3,3,0,0,0,0,3,3,0,0,0,3,29,36,0,0,0,3,34,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16,52,76,0,3,3,20,60,77,0,0,3,4,14,19,0,0,0,3,12,15,16,6,20,79,70,153,214,214
ILOC10100801,24,25,45,19,16,34,0,0,0,41,42,84,80,68,152,84,87,168,3,6,10,167,159,329,57,49,104,70,74,150,0,4,6,130,133,265,0,5,10,0,5,8,0,0,0,4,15,15,0,0,0,0,5,9,0,0,0,0,7,9,9,4,17,6,10,16,0,0,0,16,15,32,10,4,9,7,14,22,0,0,0,17,22,38,0,0,0,0,0,0,0,0,0,0,0,0,17,20,38,21,34,57,0,0,0,38,52,90,3,4,8,0,3,5,0,0,0,3,6,13,0,3,3,4,3,10,0,0,0,4,6,14,0,0,5,0,9,9,0,0,0,3,10,9,0,7,7,7,12,23,0,0,0,7,19,27,0,0,0,0,0,0,0,0,0,0,0,0,5,14,23,14,22,39,0,0,0,19,38,55,0,0,0,0,5,8,0,0,0,4,7,14,34,38,66,50,50,101,198,204
ILOC10100802,5,5,11,25,32,57,0,0,0,30,32,68,42,26,64,131,133,261,0,3,7,172,162,334,26,26,48,95,114,205,0,0,3,120,134,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,5,5,0,0,0,7,3,9,0,0,0,11,3,9,3,0,4,9,10,17,0,0,0,6,11,24,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,16,21,38,0,0,0,19,22,39,0,3,3,8,11,21,0,0,0,8,20,21,0,3,3,0,7,4,0,0,0,0,9,4,0,0,0,0,3,4,0,0,0,0,3,4,0,0,0,3,13,18,0,0,0,3,13,18,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,9,33,47,0,0,0,9,39,49,0,0,3,4,10,14,0,0,0,3,9,14,327,53,380,319,82,399,187,203
ILOC10200101,37,36,68,183,158,337,0,4,4,216,196,408,140,139,275,826,842,1671,14,12,24,982,990,1968,90,93,177,867,870,1742,8,0,8,971,960,1930,3,4,5,41,32,76,0,0,0,45,34,81,6,9,17,25,35,63,0,0,0,31,41,75,6,10,14,69,46,115,0,0,0,73,55,131,11,6,20,75,115,191,0,0,0,90,121,210,0,0,0,3,0,3,0,0,0,3,0,3,29,26,54,213,234,448,0,0,0,248,255,506,23,47,74,742,956,1702,0,3,3,773,1009,1778,5,7,16,303,338,640,0,3,5,310,354,656,3,0,3,73,94,170,0,0,0,76,102,175,3,8,10,154,282,430,0,0,0,159,283,437,0,0,0,8,9,15,0,0,0,5,9,11,34,61,99,1277,1678,2956,8,5,11,1324,1750,3070,5,8,11,40,50,89,0,0,0,47,61,101,38,42,86,177,214,391,751,816
ILOC10200201,7,11,14,54,50,105,0,0,0,62,58,123,39,40,81,297,268,560,6,3,13,341,313,649,29,18,50,193,235,427,4,4,9,219,254,479,0,5,5,7,7,17,0,0,0,7,14,23,0,0,0,3,14,17,0,0,0,6,16,19,0,0,0,25,17,37,0,0,0,24,17,40,0,3,4,17,44,60,0,0,0,23,43,66,0,0,0,5,0,5,0,0,0,5,4,7,3,9,14,51,78,130,0,0,0,59,91,154,0,3,3,16,24,35,0,0,0,18,20,37,0,0,0,3,12,12,0,0,0,3,12,12,0,0,0,6,9,8,0,0,0,6,7,14,0,6,6,13,25,41,0,0,0,13,28,45,0,0,0,0,3,3,0,0,0,0,3,3,0,10,10,30,66,97,0,0,0,32,71,107,0,0,0,8,19,30,0,0,0,9,22,34,50,14,67,250,141,390,330,376
ILOC10200301,28,21,51,59,71,135,0,0,0,97,96,190,96,87,180,245,225,469,0,3,3,341,316,653,66,49,112,142,134,280,0,3,3,212,187,399,0,3,4,6,3,11,0,0,0,5,6,17,0,7,7,4,6,11,0,0,0,4,13,16,11,11,21,15,18,30,0,0,0,24,28,49,0,15,16,14,44,59,0,0,0,17,61,72,0,0,0,0,0,0,0,0,0,0,0,0,16,33,47,41,75,113,0,0,0,49,109,156,0,0,5,4,11,13,0,0,0,10,9,21,0,0,0,5,13,13,0,0,0,5,9,14,0,3,3,7,7,17,0,0,0,7,9,17,0,0,6,19,46,73,0,0,0,26,52,77,0,0,0,0,0,0,0,0,0,0,0,0,3,9,7,34,79,115,0,0,0,35,87,124,0,9,9,6,18,27,0,0,0,8,28,40,36,41,79,76,108,189,243,255
ILOC10200302,3,6,16,44,48,94,0,3,3,54,55,106,27,20,52,169,174,343,8,10,13,202,202,404,27,17,45,100,114,215,6,4,12,131,132,270,0,4,4,0,3,4,0,0,0,0,6,4,0,0,0,0,3,3,0,0,0,0,3,3,4,3,10,11,3,16,0,0,0,13,7,22,0,0,0,4,23,23,0,0,0,4,22,28,0,0,0,0,0,0,0,0,0,0,0,0,4,4,13,17,33,50,0,0,0,22,40,64,0,0,0,7,14,17,0,0,0,9,14,21,0,0,0,0,3,4,0,0,0,0,3,4,0,0,0,3,0,5,0,0,0,0,0,4,0,0,0,5,25,31,0,0,0,5,30,30,0,0,0,0,0,0,0,0,0,0,0,0,3,0,6,17,46,56,0,0,0,14,44,65,0,0,0,6,3,14,0,0,0,6,3,14,10,15,23,41,38,80,137,115
ILOC10200401,3,3,9,39,28,75,0,0,0,43,34,83,24,19,44,165,187,355,4,0,4,194,207,408,12,8,27,111,107,220,3,0,3,127,121,248,0,0,0,0,3,3,0,0,0,3,5,9,0,0,0,0,3,3,0,0,0,3,3,4,0,0,3,7,4,14,0,0,0,12,3,13,0,0,0,9,21,34,0,0,0,9,21,33,0,0,0,0,0,3,0,0,0,0,0,3,0,3,3,24,35,54,0,0,3,24,36,62,3,0,3,10,9,15,0,0,0,10,9,21,0,0,0,0,13,12,0,0,0,0,14,9,0,0,0,0,7,9,0,0,0,0,7,9,0,0,0,3,24,29,0,0,0,3,26,33,0,0,0,3,0,3,0,0,0,3,0,3,3,0,3,16,52,66,0,0,0,14,58,73,0,0,0,8,12,16,0,0,0,8,12,16,9,6,16,55,45,107,130,117
ILOC10200402,10,0,7,3,0,3,0,0,0,11,3,13,16,9,28,13,8,16,0,0,0,26,13,45,7,10,21,10,7,14,0,0,0,14,21,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,3,3,11,11,5,4,9,24,22
ILOC10200501,7,6,16,39,45,78,0,0,0,45,47,98,20,28,47,191,160,352,3,0,3,222,192,406,14,21,36,97,111,204,5,3,8,119,129,248,0,0,0,6,7,11,0,0,0,9,6,9,0,3,3,0,0,3,0,0,0,0,4,4,0,0,0,10,9,19,0,0,0,10,9,19,0,0,0,3,14,22,0,0,0,4,14,22,0,0,0,0,0,0,0,0,0,0,0,0,3,3,7,21,31,47,0,0,0,23,34,53,0,0,0,4,11,17,0,0,0,4,11,17,0,0,0,0,3,9,0,0,0,0,3,9,0,0,0,3,7,8,0,0,0,3,4,8,0,0,0,3,11,12,0,0,0,3,11,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,28,45,0,0,0,18,29,43,0,3,3,4,7,16,0,0,0,6,10,17,3,12,14,71,61,129,224,188
